GEOID,District0,District1,District2
01073002900,265.0,2151.0,2671.0
01073003001,265.0,2151.0,2671.0
01073003002,265.0,2151.0,2671.0
01073003100,265.0,491.0,2671.0
01073003200,265.0,491.0,2671.0
01073003300,265.0,491.0,2671.0
01073003400,265.0,491.0,2671.0
01073003500,265.0,491.0,2671.0
01073003600,265.0,2151.0,2671.0
01073003700,265.0,491.0,2671.0
01073003802,265.0,2151.0,2671.0
01073003803,265.0,2151.0,2671.0
01073003900,265.0,2151.0,2671.0
01073004000,265.0,2151.0,2671.0
01073004200,265.0,2151.0,2671.0
01073004501,265.0,2151.0,2671.0
01073004502,265.0,2151.0,2671.0
01073004701,265.0,2151.0,2671.0
01073004702,265.0,2151.0,2671.0
01073004800,265.0,2151.0,2671.0
01073004901,265.0,2151.0,2671.0
01073004902,265.0,2151.0,2671.0
01073005000,265.0,2151.0,2671.0
01073005101,265.0,2151.0,2671.0
01073005103,265.0,2151.0,2671.0
01073005104,265.0,2151.0,2671.0
01073005200,265.0,2151.0,2671.0
01073005302,29.0,2153.0,2670.0
01073005500,265.0,491.0,2671.0
01073005600,264.0,2153.0,2671.0
01073005701,265.0,2151.0,2671.0
01073005702,265.0,2151.0,2671.0
01073005800,265.0,2151.0,2671.0
01073005903,29.0,2153.0,2670.0
01073005905,29.0,2153.0,2670.0
01073005907,29.0,2153.0,2670.0
01073005908,29.0,2153.0,2670.0
01073005909,29.0,2153.0,2671.0
01073005910,29.0,2153.0,2671.0
01073010001,265.0,491.0,2671.0
01073010002,265.0,491.0,2671.0
01073010100,265.0,491.0,2671.0
01073010200,265.0,491.0,2671.0
01073010301,265.0,2151.0,2671.0
01073010302,265.0,2151.0,2671.0
01073010401,265.0,2151.0,2671.0
01073010402,265.0,2151.0,2671.0
01073010500,265.0,2151.0,2671.0
01073010603,265.0,491.0,2671.0
01073010604,265.0,2151.0,2671.0
01073010605,265.0,491.0,2671.0
01073010701,265.0,2151.0,2671.0
01073010702,265.0,2151.0,2671.0
01073010703,265.0,2151.0,2671.0
01073010704,265.0,2151.0,2671.0
01073010705,265.0,2151.0,2671.0
01073010706,265.0,2151.0,2671.0
01073010801,264.0,2151.0,2671.0
01073010802,264.0,2151.0,2671.0
01073010803,264.0,2153.0,2671.0
01073010804,264.0,2151.0,2671.0
01073010806,264.0,2153.0,2671.0
01073010807,29.0,2153.0,2670.0
01073010900,265.0,491.0,2671.0
01073011002,29.0,2153.0,2670.0
01073011003,29.0,2153.0,2670.0
