GEOID20,District0,District1,District2,District3,District4,District5,District6,District7
360290007001004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007001005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007002000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007002001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007002002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007002003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007002004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007002005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007003000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007003001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007003002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007003003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007003004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007003005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007003006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007004000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007004001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007004002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007004003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007004004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007004005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007005000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007005001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007005002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007005003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007005004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007005005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290007005006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008001000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008001001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008001002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008001003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008001004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008001005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008001006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008001007,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002007,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002008,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002009,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002010,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008002011,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003007,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003008,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003009,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003010,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008003011,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008004000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008004001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008004002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008004003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008004004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290008004005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009001000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009001001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009001002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009001003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009001004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009001005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009001006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002007,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002008,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002009,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002010,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009002011,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009003000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009003001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009003002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009003003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009003004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009003005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009003006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009003007,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290009003008,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
