GEOID20,District0,District1,District2,District3,District4,District5,District6,District7,District8,District9,District10,District11,District12,District13,District14
360290005001024,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005001025,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,274.0,277.0,304.0,322.0,335.0
360290005001026,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001027,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001028,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001032,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001038,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001039,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001040,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001041,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001042,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001043,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001044,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001045,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001046,0.0,32.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,301.0,322.0,335.0
360290005001047,0.0,32.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,246.0,274.0,277.0,301.0,322.0,335.0
360290005001048,0.0,32.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,246.0,274.0,277.0,301.0,322.0,335.0
360290005001049,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,274.0,277.0,304.0,322.0,335.0
360290005001050,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005001051,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,294.0,304.0,322.0,335.0
360290005001052,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005001053,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,274.0,277.0,304.0,322.0,335.0
360290005001054,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005001055,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005001056,0.0,32.0,81.0,99.0,139.0,148.0,186.0,203.0,231.0,246.0,273.0,277.0,301.0,322.0,335.0
360290005001057,0.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,277.0,301.0,321.0,335.0
360290005002000,0.0,33.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,236.0,273.0,277.0,304.0,322.0,335.0
360290005002001,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005002002,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005002003,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005002004,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
360290005002005,0.0,33.0,81.0,96.0,139.0,148.0,167.0,203.0,231.0,251.0,273.0,277.0,304.0,322.0,335.0
