GEOID,District0,District1
01081042002,2439.0,6019.0
01081042003,2439.0,6019.0
01081042005,2439.0,6019.0
01081042006,2439.0,6019.0
01081042007,2439.0,6019.0
01081042008,2439.0,6020.0
01081042009,2439.0,6019.0
01081042101,2439.0,6019.0
01081042103,2439.0,6019.0
01081042104,2439.0,6019.0
01083020101,14.0,2986.0
01083020103,14.0,2986.0
01083020104,14.0,2986.0
01083020201,14.0,2986.0
01083020202,14.0,2986.0
01083020300,14.0,2986.0
01083020402,541.0,2986.0
01083020403,541.0,2986.0
01083020404,541.0,2986.0
01083020500,14.0,2986.0
01083020600,14.0,2986.0
01083020700,14.0,2986.0
01083020803,14.0,2986.0
01083020804,14.0,2986.0
01083020805,14.0,2986.0
01083020806,14.0,2986.0
01083020900,14.0,2986.0
01083021000,14.0,2986.0
01083021101,541.0,2986.0
01083021102,14.0,2986.0
01083021201,14.0,2986.0
01083021202,14.0,2986.0
01083021203,541.0,2986.0
01085780800,2440.0,6020.0
01085781000,2440.0,6020.0
01085781100,2440.0,6020.0
01085781200,2440.0,6020.0
01087231400,2440.0,6019.0
01087231500,2440.0,6019.0
01087231601,2440.0,6019.0
01087231602,2440.0,6019.0
01087231603,2440.0,6019.0
01087231700,2440.0,6019.0
01087231800,2440.0,6019.0
01087231900,2440.0,6019.0
01087232000,2440.0,6019.0
01087232100,2440.0,6019.0
01087232200,2440.0,6019.0
01087232300,2440.0,6019.0
01089000203,14.0,2470.0
01089000301,14.0,2470.0
01089000302,14.0,2470.0
01089000403,14.0,2470.0
01089000501,14.0,2470.0
01089000502,14.0,2470.0
01089000503,14.0,2470.0
01089000601,14.0,2986.0
01089000602,14.0,2470.0
01089000701,14.0,2470.0
01089000702,14.0,2470.0
01089000901,14.0,2470.0
01089000902,14.0,2470.0
01089001000,14.0,2470.0
01089001200,14.0,2470.0
01089001301,14.0,2986.0
01089001302,14.0,2470.0
01089001401,14.0,2986.0
01089001403,14.0,2986.0
01089001404,14.0,2986.0
01089001500,14.0,2986.0
01089001700,14.0,2470.0
01089001801,14.0,2470.0
01089001901,14.0,2470.0
01089001902,14.0,2470.0
01089001903,14.0,2470.0
01089002000,14.0,2470.0
01089002100,14.0,2470.0
01089002200,14.0,2986.0
01089002300,14.0,2986.0
01089002400,14.0,2986.0
01089002501,14.0,2470.0
01089002502,14.0,2986.0
01089002600,14.0,2470.0
01089002701,14.0,2470.0
01089002721,14.0,2470.0
01089002722,14.0,2470.0
01089002801,14.0,2470.0
01089002803,14.0,2470.0
01089002804,14.0,2470.0
01089002911,14.0,2470.0
01089002912,14.0,2470.0
01089002922,14.0,2470.0
01089002923,14.0,2470.0
01089002924,14.0,2470.0
01089003000,14.0,2470.0
01089003100,14.0,2470.0
01089010101,14.0,2470.0
01089010102,14.0,2470.0
01089010200,14.0,2470.0
01089010302,14.0,2470.0
01089010303,14.0,2470.0
01089010304,14.0,2470.0
01089010403,14.0,2470.0
01089010404,14.0,2470.0
01089010405,14.0,2470.0
01089010406,14.0,2470.0
01089010502,14.0,2470.0
01089010503,14.0,2470.0
01089010504,14.0,2470.0
01089010612,14.0,2986.0
01089010623,14.0,2470.0
01089010625,14.0,2986.0
01089010626,14.0,2470.0
01089010627,14.0,2986.0
01089010628,14.0,2986.0
01089010629,14.0,2986.0
01089010630,14.0,2986.0
01089010631,14.0,2470.0
01089010703,14.0,2470.0
01089010704,14.0,2470.0
01089010705,14.0,2470.0
01089010706,14.0,2470.0
01089010801,14.0,2470.0
01089010802,14.0,2470.0
01089010902,14.0,2470.0
01089010903,14.0,2470.0
01089010904,14.0,2470.0
01089010905,14.0,2470.0
01089011012,14.0,2986.0
01089011013,14.0,2986.0
01089011021,14.0,2986.0
01089011023,14.0,2986.0
01089011024,14.0,2986.0
01089011025,14.0,2986.0
01089011026,14.0,2986.0
01089011027,14.0,2986.0
01089011028,14.0,2986.0
01089011100,14.0,2986.0
01089011201,14.0,2986.0
01089011202,14.0,2986.0
01089011203,14.0,2986.0
01089011301,14.0,2470.0
01089011302,14.0,2470.0
01089011400,14.0,2470.0
01091972901,1871.0,6019.0
01091972902,1871.0,6019.0
01091973001,1871.0,6019.0
01091973002,1871.0,6019.0
01091973100,1871.0,6019.0
01091973200,1871.0,6019.0
01091973300,1871.0,6019.0
01091973400,1871.0,6019.0
01093964001,95.0,2648.0
01093964002,95.0,2648.0
01093964100,95.0,2648.0
01093964200,95.0,2648.0
01093964300,95.0,2648.0
01093964401,95.0,2648.0
01093964402,95.0,2648.0
01093964500,95.0,2648.0
01093964600,95.0,2648.0
01093964701,95.0,2648.0
01093964702,95.0,2648.0
01095030101,14.0,2470.0
01095030102,14.0,2470.0
01095030203,14.0,2470.0
01095030204,14.0,2470.0
01095030205,14.0,2470.0
01095030206,14.0,2470.0
01095030301,14.0,2470.0
01095030302,14.0,2470.0
01095030401,541.0,2986.0
01095030402,541.0,2986.0
01095030501,14.0,2470.0
01095030502,14.0,2470.0
01095030601,14.0,2470.0
01095030602,14.0,2986.0
01095030701,14.0,2470.0
01095030702,14.0,2470.0
01095030801,14.0,2470.0
01095030803,14.0,2470.0
01095030804,14.0,2470.0
01095030902,14.0,2470.0
01095030903,14.0,2470.0
01095030904,14.0,2470.0
01095031001,541.0,2470.0
01095031002,541.0,2470.0
01095031100,14.0,2470.0
01095031200,14.0,2470.0
01097000200,2440.0,5982.0
01097000401,2440.0,5982.0
01097000402,2440.0,5982.0
01097000500,2440.0,5982.0
01097000600,2440.0,5982.0
01097000701,2440.0,5982.0
01097000702,2440.0,5982.0
01097000801,2440.0,5982.0
01097000802,2440.0,5982.0
01097000901,2440.0,5982.0
01097000902,2440.0,5982.0
01097000903,2440.0,5982.0
01097001001,2440.0,5982.0
01097001002,2440.0,5982.0
01097001100,2440.0,5982.0
01097001200,2440.0,5982.0
01097001302,2440.0,5982.0
01097001400,2440.0,5982.0
01097001501,2440.0,5982.0
01097001502,2440.0,5982.0
01097001800,2440.0,5982.0
01097001901,2440.0,5982.0
01097001902,2440.0,5982.0
01097002000,2440.0,5982.0
01097002100,2440.0,5982.0
01097002200,2440.0,5982.0
01097002301,2440.0,5982.0
01097002302,2440.0,5982.0
01097002400,2440.0,5982.0
01097002501,2440.0,5982.0
01097002502,2440.0,5982.0
01097002600,1871.0,5982.0
01097002700,1871.0,5982.0
01097002800,1871.0,5982.0
01097002900,2440.0,5982.0
01097003000,2440.0,5982.0
01097003100,2440.0,5982.0
01097003202,2440.0,5982.0
01097003203,1871.0,5982.0
01097003205,2440.0,5982.0
01097003206,2440.0,5982.0
