GEOID20,District0,District1
360290016021014,32.0,87.0
360290016021015,32.0,87.0
360290016021016,32.0,87.0
360290016021017,32.0,87.0
360290016021018,32.0,87.0
360290016021019,32.0,87.0
360290016021020,29.0,87.0
360290016021021,29.0,87.0
360290016021022,29.0,87.0
360290016021023,29.0,87.0
360290016021024,29.0,87.0
360290016021025,32.0,87.0
360290016021026,32.0,87.0
360290016021027,32.0,87.0
360290016021028,32.0,87.0
360290016021029,32.0,87.0
360290016021030,32.0,87.0
360290016021031,32.0,87.0
360290017001000,29.0,87.0
360290017001001,29.0,87.0
360290017001002,29.0,87.0
360290017001003,29.0,87.0
360290017001004,29.0,87.0
360290017001005,29.0,87.0
360290017001006,29.0,87.0
360290017001007,29.0,87.0
360290017001008,29.0,87.0
360290017001009,29.0,87.0
360290017001010,29.0,87.0
360290017001011,29.0,87.0
360290017001012,29.0,87.0
360290017001013,29.0,87.0
360290017001014,29.0,87.0
360290017001015,29.0,87.0
360290017001016,29.0,87.0
360290017001017,29.0,87.0
360290017001018,29.0,87.0
360290017001019,29.0,87.0
360290017001020,29.0,87.0
360290017001021,29.0,87.0
360290017001022,29.0,87.0
360290017001023,29.0,87.0
360290017002000,29.0,87.0
360290017002001,29.0,87.0
360290017002002,29.0,87.0
360290017002003,29.0,87.0
360290017002004,29.0,87.0
360290017002005,29.0,87.0
360290017002006,29.0,87.0
360290017002007,29.0,87.0
360290017002008,29.0,87.0
360290017002009,29.0,87.0
360290017002010,29.0,87.0
360290017002011,29.0,87.0
360290017002012,29.0,87.0
360290017002013,29.0,87.0
360290017002014,29.0,87.0
360290017002015,29.0,87.0
360290017002016,29.0,87.0
360290017002017,29.0,87.0
360290017002018,29.0,87.0
360290017002019,29.0,87.0
360290017002020,29.0,87.0
360290017002021,29.0,87.0
360290019001000,29.0,86.0
360290019001001,29.0,86.0
360290019001002,29.0,86.0
360290019001003,29.0,86.0
360290019001004,29.0,86.0
360290019001005,29.0,86.0
360290019001006,29.0,86.0
360290019001007,28.0,86.0
360290019001008,28.0,86.0
360290019002000,29.0,86.0
360290019002001,29.0,86.0
360290019002002,29.0,86.0
360290019002003,29.0,86.0
360290019002004,29.0,86.0
360290019002005,29.0,86.0
360290019002006,28.0,86.0
360290019002007,28.0,86.0
360290019002008,28.0,86.0
360290019002009,28.0,86.0
360290019002010,28.0,86.0
360290019002011,28.0,86.0
360290019003000,29.0,86.0
360290019003001,29.0,86.0
360290019003002,29.0,86.0
360290019003003,29.0,86.0
360290019003004,29.0,86.0
360290023001000,32.0,86.0
360290023001001,32.0,86.0
360290023001002,32.0,86.0
360290023001003,32.0,86.0
360290023001004,29.0,86.0
360290023001005,32.0,86.0
360290023001006,29.0,86.0
360290023001007,29.0,86.0
360290023001008,29.0,86.0
360290023001009,29.0,86.0
360290023001010,29.0,86.0
360290023002000,32.0,86.0
360290023002001,32.0,86.0
360290023002002,32.0,86.0
360290023002003,32.0,86.0
360290023002004,29.0,86.0
360290023002005,29.0,86.0
360290023003000,32.0,86.0
360290023003001,29.0,86.0
360290023003002,29.0,86.0
360290023003003,32.0,86.0
360290023003004,32.0,86.0
360290023003005,29.0,86.0
360290023004000,32.0,86.0
360290023004001,32.0,86.0
360290023004002,32.0,86.0
360290023004003,32.0,86.0
360290023004004,32.0,86.0
360290023004005,32.0,86.0
360290024001000,32.0,86.0
360290024001001,32.0,86.0
360290024001002,32.0,86.0
360290024001003,32.0,86.0
360290024001004,32.0,86.0
360290024001005,32.0,86.0
360290024001006,32.0,86.0
360290024002000,32.0,86.0
360290024002001,32.0,86.0
360290024002002,32.0,86.0
360290024002003,32.0,86.0
360290024002004,32.0,86.0
360290024002005,32.0,86.0
360290024002006,32.0,86.0
360290024003000,32.0,86.0
360290024003001,32.0,86.0
360290024003002,32.0,86.0
360290024003003,32.0,86.0
360290024003004,32.0,86.0
360290024003005,32.0,86.0
360290024003006,32.0,86.0
360290024003007,32.0,86.0
360290024003008,32.0,86.0
360290024003009,32.0,86.0
360290024003010,32.0,86.0
360290024003011,32.0,86.0
360290024003012,32.0,86.0
360290024003013,32.0,86.0
360290024004000,32.0,86.0
360290024004001,32.0,86.0
360290024004002,32.0,86.0
360290024004003,32.0,86.0
360290024004004,32.0,86.0
360290024004005,32.0,86.0
360290024004006,32.0,86.0
360290024004007,32.0,86.0
360290024004008,32.0,86.0
360290024004009,32.0,86.0
360290024004010,32.0,86.0
360290024005000,32.0,86.0
